age,attrition_status,business_travel_frequency,daily_rate,department,distance_from_home,education_level,education_field,employee_id,environment_satisfaction,gender,hourly_rate,job_involvement_level,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,companies_worked_count,over_time,salary_hike_percent,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_sessions_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,age_group,salary_band,experience_level,promotion_due,income_per_year_experience,employee_tenure_category,attrition_risk_score
37,No,Travel_Frequently,889,Research & Development,9,3,Medical,403,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Yes,12,3,3,3,4,3,2,4,2,1,2,Mid Career,Low Income,Junior,No,581.5,Established Employee,Medium Risk
42,No,Travel_Frequently,555,Sales,26,3,Marketing,404,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,No,14,3,4,1,23,2,4,20,4,4,8,Mid Career,High Income,Expert,No,588.04,Veteran Employee,Low Risk
18,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,No,13,3,3,0,0,2,3,0,0,0,0,Young Professional,Low Income,Junior,No,1420.0,New Employee,Low Risk
35,No,Travel_Rarely,1232,Sales,16,3,Marketing,406,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,No,15,3,3,2,12,3,2,11,9,6,9,Early Career,Medium Income,Senior,Yes,668.33,Veteran Employee,Medium Risk
36,No,Travel_Frequently,566,Research & Development,18,4,Life Sciences,407,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,No,18,3,4,2,4,2,3,1,0,0,0,Mid Career,Low Income,Junior,No,922.0,New Employee,Low Risk
51,No,Travel_Rarely,1302,Research & Development,2,3,Medical,408,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,No,18,3,4,1,13,3,3,4,1,1,2,Senior Professional,Medium Income,Senior,No,421.69,Established Employee,Low Risk
41,No,Travel_Rarely,334,Sales,2,4,Life Sciences,410,4,Male,88,3,4,Manager,2,Single,16015,15896,1,No,19,3,2,0,22,2,3,22,10,0,4,Mid Career,High Income,Expert,No,727.95,Veteran Employee,Low Risk
18,No,Travel_Rarely,812,Sales,10,3,Medical,411,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,No,12,3,1,0,0,2,3,0,0,0,0,Young Professional,Low Income,Junior,No,1200.0,New Employee,Low Risk
28,No,Travel_Rarely,1476,Research & Development,16,2,Medical,412,2,Male,68,4,2,Healthcare Representative,1,Single,5661,4824,0,No,19,3,3,0,9,2,3,8,3,0,7,Early Career,Medium Income,Mid-Level,No,629.0,Experienced Employee,Low Risk
31,No,Travel_Rarely,218,Sales,7,3,Technical Degree,416,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,1,10,3,2,8,7,7,7,Early Career,Medium Income,Mid-Level,Yes,692.9,Experienced Employee,Medium Risk
39,No,Travel_Rarely,1132,Research & Development,1,3,Medical,417,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,No,17,3,1,3,19,5,2,18,10,3,7,Mid Career,Medium Income,Senior,No,505.95,Veteran Employee,Low Risk
36,No,Non-Travel,1105,Research & Development,24,4,Life Sciences,419,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,1,11,3,3,9,8,0,8,Mid Career,Medium Income,Senior,No,515.82,Experienced Employee,Low Risk
32,No,Travel_Rarely,906,Sales,7,3,Life Sciences,420,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,No,14,3,3,1,13,3,2,13,8,4,8,Early Career,Medium Income,Senior,No,421.85,Veteran Employee,Low Risk
38,No,Travel_Rarely,849,Research & Development,25,2,Life Sciences,421,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,No,17,3,3,1,19,2,3,10,8,0,1,Mid Career,High Income,Senior,No,634.79,Experienced Employee,Low Risk
58,No,Non-Travel,390,Research & Development,1,4,Life Sciences,422,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Yes,13,3,4,1,12,2,3,5,3,1,2,Senior Professional,Medium Income,Senior,No,471.67,Established Employee,Low Risk
31,No,Travel_Rarely,691,Research & Development,5,4,Technical Degree,423,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Yes,12,3,3,1,6,4,3,5,2,0,3,Early Career,Low Income,Mid-Level,No,803.5,Established Employee,Low Risk
31,No,Travel_Rarely,106,Human Resources,2,3,Human Resources,424,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,No,12,3,4,0,9,1,3,2,2,1,0,Early Career,Medium Income,Mid-Level,No,712.22,New Employee,Low Risk
45,No,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,425,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,No,18,3,1,1,24,2,3,24,9,9,11,Mid Career,Medium Income,Expert,Yes,217.08,Veteran Employee,Medium Risk
31,No,Travel_Rarely,192,Research & Development,2,4,Life Sciences,426,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,1,3,2,1,2,2,2,2,Early Career,Low Income,Junior,No,898.33,New Employee,Medium Risk
33,No,Travel_Frequently,553,Research & Development,5,4,Life Sciences,428,4,Female,74,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,2,12,2,3,10,6,8,8,Early Career,High Income,Senior,Yes,989.83,Experienced Employee,Medium Risk
39,No,Travel_Rarely,117,Research & Development,10,1,Medical,429,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Yes,14,3,4,0,21,3,3,21,9,11,10,Mid Career,High Income,Expert,Yes,812.76,Veteran Employee,Medium Risk
43,No,Travel_Frequently,185,Research & Development,10,4,Life Sciences,430,3,Female,33,3,1,Laboratory Technician,4,Single,2455,10675,0,No,19,3,1,0,9,5,3,8,7,1,7,Mid Career,Low Income,Mid-Level,No,272.78,Experienced Employee,Low Risk
49,No,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,431,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,Yes,12,3,4,0,25,2,3,7,1,0,7,Senior Professional,High Income,Expert,No,558.56,Experienced Employee,Low Risk
52,Yes,Travel_Rarely,723,Research & Development,8,4,Medical,433,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,No,15,3,1,0,11,3,2,8,2,7,7,Senior Professional,Low Income,Senior,Yes,449.18,Experienced Employee,Medium Risk
27,No,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,434,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Yes,12,3,2,0,4,2,2,4,3,1,2,Early Career,Low Income,Junior,No,619.5,Established Employee,Medium Risk
32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,436,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Yes,11,3,4,0,13,2,3,13,12,11,9,Early Career,Medium Income,Senior,Yes,402.15,Veteran Employee,Medium Risk
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,437,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,Yes,11,3,1,0,5,3,3,5,4,0,4,Early Career,Low Income,Junior,No,895.6,Established Employee,Low Risk
31,No,Travel_Rarely,691,Sales,7,3,Marketing,438,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,No,12,3,4,3,13,3,3,7,7,1,7,Early Career,Medium Income,Senior,No,580.54,Experienced Employee,Low Risk
32,No,Travel_Rarely,1018,Research & Development,2,4,Medical,439,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,No,16,3,3,0,10,0,2,7,7,0,7,Early Career,Medium Income,Mid-Level,No,505.5,Experienced Employee,Low Risk
28,Yes,Travel_Rarely,1157,Research & Development,2,4,Medical,440,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,Yes,13,3,4,0,5,4,2,3,2,2,2,Early Career,Low Income,Junior,No,692.8,Established Employee,Medium Risk
30,No,Travel_Rarely,1275,Research & Development,28,2,Medical,441,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1,No,13,3,4,2,11,2,3,10,8,1,9,Early Career,Medium Income,Senior,No,525.0,Experienced Employee,Low Risk
31,No,Travel_Frequently,798,Research & Development,7,2,Life Sciences,442,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,No,24,4,1,1,10,2,3,10,9,8,9,Early Career,Medium Income,Mid-Level,Yes,894.3,Experienced Employee,Low Risk
39,No,Travel_Frequently,672,Research & Development,7,2,Medical,444,3,Male,54,2,5,Manager,4,Married,19272,21141,1,No,15,3,1,1,21,2,3,21,9,13,3,Mid Career,High Income,Expert,Yes,917.71,Veteran Employee,Low Risk
39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,445,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Yes,18,3,1,0,12,3,2,1,0,0,0,Mid Career,Medium Income,Senior,No,436.5,New Employee,Medium Risk
33,No,Travel_Frequently,508,Sales,10,3,Marketing,446,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,No,14,3,3,0,9,6,2,7,7,0,1,Early Career,Low Income,Mid-Level,No,520.22,Experienced Employee,Low Risk
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,447,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,No,11,3,2,1,21,2,3,3,2,1,1,Senior Professional,High Income,Expert,No,871.43,Established Employee,Low Risk
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,No,11,3,2,1,9,3,4,9,7,0,0,Mid Career,Medium Income,Mid-Level,No,584.11,Experienced Employee,Low Risk
27,No,Non-Travel,210,Sales,1,1,Marketing,449,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Yes,13,3,4,1,6,0,3,5,4,1,4,Early Career,Medium Income,Mid-Level,No,1058.17,Established Employee,Medium Risk
54,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,450,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,No,12,3,4,0,20,4,2,4,3,0,3,Senior Professional,Low Income,Senior,No,243.45,Established Employee,Low Risk
43,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,451,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,No,16,3,1,1,10,1,2,1,0,0,0,Mid Career,Medium Income,Mid-Level,No,998.5,New Employee,Medium Risk
45,No,Travel_Rarely,549,Research & Development,8,4,Other,452,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,No,14,3,1,2,12,3,3,10,9,9,8,Mid Career,Low Income,Senior,Yes,308.08,Experienced Employee,Low Risk
40,No,Travel_Rarely,1124,Sales,1,2,Medical,453,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Yes,22,4,3,3,6,2,2,4,3,0,2,Mid Career,Medium Income,Mid-Level,No,1242.83,Established Employee,Medium Risk
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,454,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Yes,11,3,4,0,7,4,2,7,7,0,7,Early Career,Low Income,Mid-Level,No,302.71,Experienced Employee,Medium Risk
29,No,Travel_Rarely,738,Research & Development,9,5,Other,455,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,No,17,3,3,0,4,2,3,3,2,2,2,Early Career,Low Income,Junior,No,995.75,Established Employee,Low Risk
30,No,Travel_Rarely,570,Sales,5,3,Marketing,456,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,No,13,3,3,3,10,2,3,10,9,1,2,Early Career,Medium Income,Mid-Level,No,611.8,Experienced Employee,Low Risk
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,458,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,No,18,3,1,1,8,3,3,8,7,0,7,Early Career,Medium Income,Mid-Level,No,776.75,Experienced Employee,Low Risk
37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,No,16,3,3,2,8,2,2,6,2,0,4,Mid Career,Medium Income,Mid-Level,No,793.38,Experienced Employee,Low Risk
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,461,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Yes,14,3,2,1,12,3,3,11,10,2,9,Mid Career,High Income,Senior,No,959.17,Veteran Employee,Low Risk
31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Yes,14,3,3,0,11,2,2,11,9,4,10,Early Career,Medium Income,Senior,No,649.36,Veteran Employee,Medium Risk
29,No,Travel_Rarely,144,Sales,10,1,Marketing,463,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,2,7,2,3,7,7,1,7,Early Career,Medium Income,Mid-Level,No,1181.14,Experienced Employee,Medium Risk
35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,464,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,No,13,3,4,0,17,5,3,16,6,0,13,Early Career,Medium Income,Senior,No,476.18,Veteran Employee,Low Risk
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,No,12,3,3,2,4,2,2,4,2,0,2,Young Professional,Low Income,Junior,No,726.0,Established Employee,Low Risk
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,466,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Yes,15,3,4,0,8,3,3,5,4,1,2,Mid Career,Medium Income,Mid-Level,No,754.0,Established Employee,Medium Risk
47,No,Travel_Frequently,1309,Sales,4,1,Medical,467,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,No,19,3,1,0,5,3,3,0,0,0,0,Senior Professional,Low Income,Junior,No,595.2,New Employee,Low Risk
42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,468,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0,Mid Career,High Income,Senior,No,999.5,New Employee,Low Risk
29,No,Non-Travel,746,Sales,2,3,Life Sciences,469,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,No,14,3,1,1,4,3,2,4,3,0,2,Early Career,Low Income,Junior,No,1162.25,Established Employee,Low Risk
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,470,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Yes,11,3,3,1,4,5,3,3,2,1,0,Mid Career,Low Income,Junior,No,674.0,Established Employee,Low Risk
32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,471,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,3,1,8,4,3,8,0,0,7,Early Career,Low Income,Mid-Level,No,296.25,Experienced Employee,Low Risk
48,No,Travel_Rarely,530,Sales,29,1,Medical,473,1,Female,91,3,3,Manager,3,Married,12504,23978,3,No,21,4,2,1,15,3,1,0,0,0,0,Senior Professional,High Income,Senior,No,833.6,New Employee,Low Risk
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Yes,13,3,1,2,13,2,3,7,7,6,7,Mid Career,Medium Income,Senior,Yes,459.54,Experienced Employee,Medium Risk
30,No,Non-Travel,641,Sales,25,2,Technical Degree,475,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,Yes,12,3,2,1,4,2,4,2,2,2,2,Early Career,Low Income,Junior,No,1184.0,New Employee,Low Risk
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,476,3,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,No,17,3,2,1,8,3,3,8,7,7,7,Early Career,Medium Income,Mid-Level,Yes,662.0,Experienced Employee,Low Risk
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,477,1,Male,98,2,2,Healthcare Representative,4,Single,6781,17078,3,No,23,4,2,0,14,6,3,1,0,0,0,Mid Career,Medium Income,Senior,No,484.36,New Employee,Low Risk
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,478,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2,Young Professional,Low Income,Junior,No,724.67,Established Employee,Medium Risk
36,No,Non-Travel,845,Sales,1,5,Medical,479,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,No,15,3,2,0,7,6,3,1,0,0,0,Mid Career,Medium Income,Mid-Level,No,950.43,New Employee,Low Risk
36,No,Travel_Frequently,541,Sales,3,4,Medical,481,1,Male,48,2,3,Sales Executive,4,Married,9699,7246,4,No,11,3,1,1,16,2,3,13,9,1,12,Mid Career,Medium Income,Senior,No,606.19,Veteran Employee,Low Risk
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,482,4,Male,88,3,2,Healthcare Representative,3,Married,6755,2967,2,No,11,3,3,0,15,2,3,3,2,1,2,Senior Professional,Medium Income,Senior,No,450.33,Established Employee,Low Risk
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,483,4,Female,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Yes,13,3,3,1,10,3,3,7,7,1,7,Mid Career,Low Income,Mid-Level,No,221.3,Experienced Employee,Low Risk
21,No,Non-Travel,895,Sales,9,2,Medical,484,1,Male,39,3,1,Sales Representative,4,Single,2610,2851,1,No,24,4,3,0,3,3,2,3,2,2,2,Young Professional,Low Income,Junior,No,870.0,Established Employee,Low Risk
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,485,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1,Yes,13,3,2,0,1,2,3,1,0,0,0,Early Career,Low Income,Junior,No,2851.0,New Employee,Low Risk
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,486,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,No,20,4,2,1,17,3,3,5,4,0,3,Mid Career,Low Income,Senior,No,203.06,Established Employee,Low Risk
46,No,Non-Travel,1144,Research & Development,7,4,Medical,487,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,2,No,14,3,3,0,7,2,4,1,0,0,0,Senior Professional,Medium Income,Mid-Level,No,751.14,New Employee,Low Risk
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,488,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,No,18,3,3,0,8,5,3,8,7,7,7,Mid Career,Medium Income,Mid-Level,Yes,1169.38,Experienced Employee,Medium Risk
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,No,15,3,4,0,20,2,3,4,3,1,3,Senior Professional,High Income,Senior,No,524.8,Established Employee,Low Risk
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,492,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,Yes,12,3,1,2,8,6,3,6,4,1,0,Mid Career,Medium Income,Mid-Level,No,797.5,Experienced Employee,Low Risk
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,493,3,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,Yes,16,3,4,0,3,5,3,2,2,2,2,Early Career,Low Income,Junior,No,885.67,New Employee,Medium Risk
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,494,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,No,15,3,4,0,1,0,3,1,0,0,0,Young Professional,Low Income,Junior,No,2716.0,New Employee,Low Risk
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,495,4,Male,54,3,1,Research Scientist,4,Single,2201,18168,9,No,16,3,4,0,6,4,3,3,2,1,2,Early Career,Low Income,Mid-Level,No,366.83,Established Employee,Low Risk
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,496,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,No,19,3,3,0,10,5,3,1,1,0,0,Early Career,Medium Income,Mid-Level,No,654.0,New Employee,Low Risk
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,497,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4,Early Career,Low Income,Junior,No,763.2,Established Employee,Low Risk
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,498,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,No,16,3,4,0,7,1,3,7,5,0,7,Early Career,Medium Income,Mid-Level,No,750.43,Experienced Employee,Low Risk
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,499,2,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,No,24,4,3,0,26,2,3,5,2,0,0,Senior Professional,High Income,Expert,No,421.73,Established Employee,Low Risk
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,500,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,No,11,3,3,1,18,2,2,7,7,0,7,Senior Professional,Low Income,Senior,No,274.22,Experienced Employee,Low Risk
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,501,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,No,13,3,2,1,6,3,3,2,2,2,2,Mid Career,Low Income,Mid-Level,No,423.83,New Employee,Low Risk
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,502,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Yes,13,3,2,0,9,3,2,5,2,0,4,Early Career,Medium Income,Mid-Level,No,589.33,Established Employee,Medium Risk
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,505,3,Female,97,3,4,Manager,4,Single,16659,23258,2,Yes,13,3,3,0,30,2,3,5,4,1,2,Senior Professional,High Income,Expert,No,555.3,Established Employee,Low Risk
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3,Young Professional,Low Income,Junior,No,852.0,Established Employee,Low Risk
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,508,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,No,18,3,1,1,1,3,3,1,0,0,0,Early Career,Low Income,Junior,No,2476.0,New Employee,Low Risk
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,510,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,No,22,4,3,0,7,2,3,6,4,0,4,Early Career,Low Income,Mid-Level,No,443.14,Experienced Employee,Low Risk
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,511,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,No,13,3,4,1,2,1,3,2,1,1,2,Young Professional,Low Income,Junior,No,1122.0,New Employee,Low Risk
36,No,Travel_Rarely,164,Sales,2,2,Medical,513,2,Male,61,2,3,Sales Executive,3,Married,7596,3809,1,No,13,3,2,2,10,2,3,10,9,9,0,Mid Career,Medium Income,Mid-Level,Yes,759.6,Experienced Employee,Low Risk
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,514,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,0,Early Career,Low Income,Junior,No,761.67,New Employee,Low Risk
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,No,12,3,3,1,18,2,2,18,7,12,17,Mid Career,Low Income,Senior,Yes,168.56,Veteran Employee,Medium Risk
40,No,Travel_Rarely,759,Sales,2,2,Marketing,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,No,12,3,3,2,8,5,3,5,4,1,3,Mid Career,Medium Income,Mid-Level,No,714.38,Established Employee,Low Risk
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,No,16,3,2,1,8,5,3,5,2,1,2,Mid Career,Low Income,Mid-Level,No,322.0,Established Employee,Low Risk
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,518,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1,Mid Career,Low Income,Senior,No,233.17,New Employee,Medium Risk
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,520,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9,Mid Career,High Income,Expert,No,573.44,Veteran Employee,Low Risk
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,521,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0,Mid Career,Low Income,Senior,No,172.4,New Employee,Low Risk
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,522,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2,Senior Professional,High Income,Expert,No,808.58,Established Employee,Medium Risk
34,No,Non-Travel,1381,Sales,4,4,Marketing,523,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,9,No,15,3,1,1,6,3,3,3,2,1,2,Early Career,Medium Income,Mid-Level,No,1089.67,Established Employee,Low Risk
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,524,2,Female,31,3,2,Manufacturing Director,1,Married,4306,4156,1,No,12,3,2,1,13,5,1,13,10,3,12,Early Career,Low Income,Senior,No,331.23,Veteran Employee,Medium Risk
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,525,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,No,20,4,1,1,8,1,3,3,2,1,2,Mid Career,Low Income,Mid-Level,No,282.25,Established Employee,Low Risk
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2,Mid Career,Low Income,Mid-Level,No,565.25,Established Employee,Low Risk
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,527,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3,Young Professional,Low Income,Junior,No,897.4,Established Employee,Low Risk
37,No,Non-Travel,1063,Research & Development,25,5,Medical,529,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7,Mid Career,Low Income,Senior,Yes,296.6,Veteran Employee,Medium Risk
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,530,4,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,No,12,3,3,1,4,3,3,4,2,3,2,Early Career,Low Income,Junior,No,554.5,Established Employee,Low Risk
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,531,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6,Mid Career,High Income,Expert,No,914.14,Veteran Employee,Low Risk
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,532,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,7,Senior Professional,High Income,Expert,Yes,367.0,Experienced Employee,Medium Risk
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,533,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,No,11,3,2,0,6,6,3,5,4,4,4,Early Career,Medium Income,Mid-Level,No,1096.17,Established Employee,Low Risk
41,No,Travel_Rarely,645,Sales,1,3,Marketing,534,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7,Mid Career,Medium Income,Mid-Level,No,839.2,Experienced Employee,Low Risk
